Category,Brand,Model,Platform,Review,Ground_Truth
Refrigerator,Samsung,Bespoke French Door,Croma,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Croma,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Standard performance, similar to the previous year's model.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,The on-site visit was helpful but the stock was limited.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Reliance Digital,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,The on-site visit was helpful but the stock was limited.,NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,Vijay Sales,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Bespoke French Door,On-Site-Visit,"Works as intended, but the build could be sturdier.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Amazon,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Works as intended, but the build could be sturdier.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Decent quality, but I expected more features after seeing the demo.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"It is an okay product, does what it says.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Middle of the road. It gets the job done.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,"Standard performance, similar to the previous year's model.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Flipkart,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"It is an okay product, does what it says.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,The on-site visit was helpful but the stock was limited.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Satisfactory purchase, but nothing extraordinary.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Croma,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Croma,"Standard performance, similar to the previous year's model.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"The on-site visit was a waste of time, product was out of stock.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"It is an okay product, does what it says.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Store staff was knowledgeable and the product works perfectly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Loved seeing the product in person before buying. Premium feel!,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Battery life is terrible compared to what the salesperson said.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Reliance Digital,Staff at the store didn't know the specs. Very disappointed.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"It is an okay product, does what it says.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Great value for money, outperforms competitors.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Great experience at the store, the demo was very helpful.",POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Not worth the price. Much better options available in other stores.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,In-store demo unit looked much better than what was delivered.,NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Poor build quality, stopped working after a week.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Works as intended, but the build could be sturdier.",NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Excellent performance and build quality.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Visited the store; product is fine but the staff was a bit busy.,NEUTRAL
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Defective unit received, and the store is refusing to help.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Best purchase! The on-site visit convinced me to go for this model.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,"Loud noise during operation, very distracting.",NEGATIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,Very sleek design and extremely user-friendly.,POSITIVE
Refrigerator,Samsung,Digital Inverter Double Door,Vijay Sales,The in-store discount was a great bonus. Product is top-notch.,POSITIVE
